ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Food type,Address
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,5000,56,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,100,58,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills
1609,Andheri East,Mumbai,Kung Fu Panda,600,4.3,100,58,Chinese  Thai  Asian,Marol
1617,Powai,Mumbai,Kosho,300,4.2,100,56,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali
1844,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,500,64,"Chinese,Seafood",Nagarjuna Circle
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,100,69,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills
1874,Indiranagar,Bangalore,Mamagoto,900,4.2,100,59,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto
1884,Powai,Mumbai,Hakka Express,300,4,100,48,"Chinese,Asian,Thai",Narayan Plaza
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200,4.3,500,57,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage
2042,Aundh,Pune,Juice Destination,200,4.2,500,60,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh
2047,Aundh,Pune,Hyderabadi Spice,400,4.2,1000,58,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk
2102,Aundh,Pune,Cafe Peterdonuts,400,4.1,50,71,"Continental,Desserts",Gaikwad Nagar
2250,Baner,Pune,Karolbaug,750,4.1,50,72,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500,4.4,500,65,North Indian,Guru Hargobindji Marg  Andheri East
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,100,66,North Indian  South Indian,S P Road
2348,Kalasiguda,Hyderabad,Bluefox,800,4.2,1000,68,Biryani  North Indian  Chinese  Tandoor,Sd Road
2516,Aundh,Pune,Taaareef,1100,4.4,100,67,"Mughlai,North Indian,Seafood,Biryani",Iti Road
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,57,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,37,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4,1000,39,Chinese,New Mla Quarters
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,30,"South Indian,North Indian,Chinese",Himayath Nagar Road
2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,36,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road
2811,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,100,34,"Ice Cream,Desserts,Beverages",Residency Road
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,39,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road
2824,Richmond Town,Bangalore,Fanoos,300,4.2,500,33,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road
2827,Richmond Town,Bangalore,In Wok,500,4.3,100,44,Chinese,Richmond
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,100,31,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,80,33,"Chinese,Continental,Fast Food",Church Street
2840,Ashok Nagar,Bangalore,Roomali,1000,4.4,100,35,"North Indian,Indian",Church Street
2843,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,100,38,"Punjabi,North Indian",Church Street
2914,Ashok Nagar,Bangalore,Bheemas,550,4.3,100,31,Andhra,Church Street
2915,Vasanth Nagar,Bangalore,Watson'S,450,2.9,80,53,Fast Food,1St Main Road
2964,Andheri East,Mumbai,Sai Leela,500,4.2,20,63,"Mughlai,North Indian,Chinese,Seafood",Andheri East
3007,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,100,71,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,500,59,"North Indian,Biryani,Chinese",Ballygunge
3018,Gariahat,Kolkata,Tero Parbon,500,4.3,100,72,Bengali,Purna Das Road Hindustan Park
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,100,76,"Continental,American,Cafe",Purnadas Road
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,67,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,80,70,"North Indian,Chinese,Bengali",Gariahat Road Gariahat
3031,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,1000,54,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,100,58,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,1000,60,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur
3074,Kalighat,Kolkata,Tamarind,1100,4.4,100,73,"North Indian,South Indian",Sarat Bose Road Desapriya Park
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,100,47,Fast Food,Coles Road
3265,Indiranagar,Bangalore,Chaipatty,200,3.9,50,56,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar
3279,Powai Area,Mumbai,5 Spice,1100,4.2,500,53,"Chinese,Desserts",Powai Area
3324,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,56,"Andhra,Seafood",Punjagutta Road
3326,Sion,Mumbai,Cafe Vrindavan,500,4.3,100,42,"North Indian,Chinese,South Indian",Sion Station
3329,Mumbai,Mumbai,Ramdeo,450,4,500,44,"North Indian,Chinese,South Indian,Fast Food",Sion Station
3331,Mumbai,Mumbai,Shabari,400,3.9,100,48,"North Indian,South Indian,Fast Food",Sion West
3332,Rajajinagar,Bangalore,The Purple Pan,400,4.1,1000,56,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500,2.9,80,50,"North Indian,Chinese,Biryani,Seafood",Lakeview
3369,Ashok Nagar,Bangalore,Truffles,450,4.5,1000,29,"American,Desserts,Continental,Italian",St. Marks Road
3439,Golpark,Kolkata,The Grub Club,400,4.3,1000,69,"Italian,Chinese,Thai",Golpark
3454,Koramangala,Bangalore,Lazeez,500,4.2,500,55,"North Indian,Mughlai",5Th Block
3531,Shivajinagar,Pune,Marrakesh,300,4,100,46,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,65,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2
3813,Gariahat,Kolkata,Kimli,600,4.4,100,69,"Chinese,Seafood",Purnadas Road
3830,Koregaon Park,Pune,Prem'S,1200,4.2,100,53,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park
3835,Deccan Gymkhana,Pune,The Chocolate Room,450,2.9,80,39,"Desserts,Continental,Fast Food",Fc Road
3855,Koregaon Park,Pune,Uncle'S Chinese,350,4.1,1000,55,"Chinese,Thai,Malaysian",Koregaon Park
3889,Jayanagar,Bangalore,House Of Kebab'S,500,3.7,50,51,"North Indian,Chinese,Biryani",Rv Road
3914,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,68,Ice Cream  Desserts,Vikrampuri Colony
4051,Kothrud,Pune,Zest Cafe Bar,250,4.2,20,57,"Chinese,Fast Food",Ideal Chambers  Kothrud
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250,3.9,100,51,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park
4086,Kothrud,Pune,Rushhrs,250,4.3,100,46,"Salads,Healthy Food",Karishma Housing Society
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400,4.2,500,35,"Biryani,Mughlai,North Indian,Chinese",Karve Road
4138,Koti,Hyderabad,Grand Hotel,300,4.1,10000,24,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,39,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,67,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,70,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,52,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony
4320,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,25,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda
4338,Fc Road,Pune,The Burger Barn Cafe,300,4.1,100,46,"American,Fast Food",Ghole Road
4429,Park Street Area,Kolkata,Sip & Sandwich,300,2.9,80,60,Pastas  Beverages  Fast Food,Park Street
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,500,4.4,1000,52,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street
4484,Park Street Area,Kolkata,Mocambo,1500,4.4,1000,62,"North Indian,Biryani,Continental,Italian",Park Street
4558,Bidhannagar,Kolkata,The Scoop,400,4.1,100,70,"North Indian,Chinese,South Indian,Fast Food",Sector 1
4565,Bidhannagar,Kolkata,Kaafila,1600,3.9,50,71,"Mughlai,North Indian",Sector 1
4587,Bidhannagar,Kolkata,Ranjan'S,200,4.2,100,56,"North Indian,Chinese",Sector 3
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500,4.1,1000,59,"North Indian,Punjabi,Biryani",Sector 1
4600,Bidhannagar,Kolkata,Le Coffee Creme,600,3.9,50,68,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,34,"Biryani,North Indian,Chinese",Rtc X Roads
4650,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,27,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100,4.2,100,52,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point
4774,Adikmet,Hyderabad,Us Pizza,200,3.2,20,48,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road
4776,Amberpet,Hyderabad,Surabhi Grand,300,4,500,45,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,34,Chinese,Himayathnagar
4783,Adikmet,Hyderabad,Frosty Den,200,2.2,20,43,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,62,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12
4841,Karve Nagar,Pune,Cheesiano Pizza,500,3.9,100,52,"Italian,Pizzas,Fast Food",Karvenagar
4853,Domlur,Bangalore,Venus Biryani,200,4.1,500,49,Biryani,3Rd Cross
4956,Andheri East,Mumbai,Rj Spice,450,4.1,20,55,Chinese  Thai  Fast Food,Jb Nagar  Andheri East
5107,Agarkar Nagar,Pune,Blue Nile,1000,4.2,1000,31,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road
5119,Koregaon Park,Pune,Arthur'S Theme,800,4.3,100,56,"Italian,European",Lane No 6 Opp Cosmos Bank Kp
5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000,4.2,100,64,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp
5139,Shivajinagar,Pune,Smokin' Joe'S,400,4,50,35,"American,Fast Food",Jm Road
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,250,4,50,73,Fast Food,Salunkhe Vihar Road
5157,Shivajinagar,Pune,Mainland China,850,4.4,100,53,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall
5172,Bandra Area,Mumbai,Theobroma,800,4.7,500,40,"Desserts,Bakery,Beverages",Bandra Area
5208,Paschim Vihar,Delhi,Deli 63,400,2.9,80,60,"Street Food,Fast Food",Punjabi Bagh
5221,Malleshwaram,Bangalore,Food Paradise,326,3.9,100,53,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250,4.7,1000,31,"Ice Cream,Desserts",Residency Road
5251,Kalighat,Kolkata,Bachan'S Dhaba,250,4.3,5000,61,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue
5255,Ballygunge,Kolkata,Mainland China,850,4.5,100,64,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge
5285,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,40,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony
5297,Deccan Gymkhana,Pune,Le Plaisir,1000,4.5,500,40,"Italian,Continental,European,Desserts",Prabhat Road Deccan
5370,Deccan Gymkhana,Pune,Cafe Goodluck,200,4.4,100,35,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar
5408,Camp,Pune,George Restaurant,600,4.3,1000,33,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street
5496,Camp,Pune,Marzorin,200,4.4,1000,33,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350,3.9,50,57,Chinese,Antop Hill
5538,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,58,"North Indian,Chinese,Biryani",Ashta Laxmi Temple
5549,New Tippasandra,Bangalore,Dal Roti Sabji,150,4.5,100,54,North Indian,80Ft Road
5573,Ashok Nagar,Bangalore,Mainland China,850,4.3,100,40,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street
5582,Vasanth Nagar,Bangalore,Shezan,600,4.3,100,44,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road
5596,Vasanth Nagar,Bangalore,Dolci Desserts,600,4.5,50,40,"Desserts,Pastas",Cunnigham Road
5624,Deccan Gymkhana,Pune,Subway,350,4.4,100,35,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road
5691,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,48,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area
5743,Bhawani Peth,Pune,Madinah,200,4,500,34,"Mughlai,North Indian,Chinese,Biryani",Poona College
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800,4.5,20,69,"North Indian,Chinese,Continental",Sector 3
5862,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,32,"North Indian,Chinese",Basheerbagh X Road
5878,Kalyani Nagar,Pune,Salad Grills,300,4.3,100,63,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai
5882,Ashok Nagar,Bangalore,Oh! Calcutta,800,4.3,100,36,Bengali,Church Street
5893,Shankarapura,Bangalore,Polar Bear,300,4.5,100,38,"Desserts,Fast Food",Vv Puram
5908,Vasanth Nagar,Bangalore,Miller'S 46,1100,4.4,100,47,"Steakhouse,American,Continental",Cunnigham Road
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500,4.1,100,48,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point
5989,Elgin,Kolkata,The Rouge,400,4.4,50,51,Desserts  Bakery,Near Bishop'S College  Kolkata
5994,Bidhannagar,Kolkata,The Darjeeling,500,4,100,73,"Chinese,Nepalese,Tibetan",Near City Centre 1
6075,Paschim Vihar,Delhi,London Grill Co,500,4,1000,50,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar
6328,Mumbai,Mumbai,Mughal Fusions,300,3.9,100,38,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg
6329,Kurla West,Mumbai,Mughal Darbaar,300,3.7,500,40,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg
6332,Saki Naka,Mumbai,Naaz Hotel,750,4.1,500,39,"Mughlai,North Indian,Chinese",Kurla West
6345,Teynampet,Chennai,Amaravathi,650,4.2,100,53,"Indian,Chinese,Andhra,Tandoor",Cathedral Road
6358,Nandanam,Chennai,Eatalica,500,4.5,100,69,"Italian,American",Ra Puram
6493,Rajajinagar,Bangalore,Kudla Beach,400,3.9,20,59,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road
6518,Langford Gardens,Bangalore,Rolls Kitchen,200,4.4,500,35,Fast Food,Shanthi Nagar
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200,4,500,55,"North Indian,Biryani,Chinese",Punjagutta
6585,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,34,"Bakery,Pizzas",Chikadpally
6663,Kurla West,Mumbai,Mughal Dhaba,500,4,20,36,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West
6723,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,39,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road
6745,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,29,Snacks,Hanuman Tekdi Road
6775,Kalighat,Kolkata,Petuk,350,4,20,70,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,200,4,100,57,"North Indian,South Indian,Fast Food",Sampige Road
6851,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,27,"Sweets,Fast Food",Jn Road
6917,Powai,Mumbai,Eagle Boys Pizza,600,3.7,100,56,Pizzas  Fast Food,Chandivali
6924,Richmond Town,Bangalore,Freshmenu,250,4.1,1000,38,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street
7002,Himayatnagar,Hyderabad,Angaara,250,3.9,100,33,"Indian,Chinese,Tandoor",Street 4
7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000,2.9,80,56,"North Indian,Chinese,Continental",Santacruz East
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700,4.3,50,67,"Continental,Fast Food,Italian,Beverages",Sector 1
7204,Bidhannagar,Kolkata, Conclave At Afraa,850,3.9,50,75,"Italian,Indian,Continental",Salt Lake City Centre
7341,Ashok Nagar,Bangalore,Shiro,1400,4.4,100,44,"Japanese,Asian",Vittal Mallya Road
7412,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,48,Biryani  North Indian  Chinese,Imax Road
7415,Aundh,Pune,Delhi Kitchen,300,4,100,69,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road
7626,Vishnu Garden,Delhi,Sethi Restaurant,300,4,1000,63,North Indian,Pacific Mall
7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200,4.7,100,34,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata
7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,300,3.7,1000,74,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road
7776,Gopalapuram,Chennai,The Kati Roll Shop,250,4.3,1000,52,Street Food,Cathedral Road
7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,850,4.3,100,55,"Asian,Chinese,Oriental",Powai Area
7826,Alwarpet,Chennai,Benjarong,1500,4.6,100,68,Thai,Ttk Road
7828,Mylapore,Chennai,Kaaraikudi,500,3.6,100,57,Chettinad,Dr Radhakrishnan Salai
7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500,4.5,50,72,"North Indian,Chinese,Thai,Continental",Punjabi Bagh
7898,Golpark,Kolkata,Crossroad Crystal - Golpark,350,4.1,50,71,"Indian,Chinese,Bengali",Golpark
7940,Andheri East,Mumbai,99 East,300,2.9,80,57,North Indian  Chinese  Seafood,Andheri East
8009,Pashan,Pune,Saffron Multicuisine,400,4.5,20,68,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road
8040,South Kolkata,Kolkata,Second House,500,2.9,80,84,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue
8046,Gariahat,Kolkata,Santa'S Fantasea,1200,4.3,100,80,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark
8093,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,53,"North Indian,Biryani,Kerala",Panjagutta Road
8139,Kotturpuram,Chennai,Ciclo Cafe,1100,4.4,1000,71,"Continental,Italian,Italian-American",Alwarpet
8175,Paschim Vihar,Delhi,Chawla Kitchen,500,3.8,500,48,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh
8205,Habsiguda,Hyderabad,Taste Of India,600,4.2,20,67,"North Indian,Chinese,Continental",Habsiguda Main Road
8213,Uppal,Hyderabad,Crunchy'S,150,3.8,20,72,"Italian,American",Uppal Ring Road
8241,Indiranagar,Bangalore,Paris Panini - French Street Food,450,4.4,1000,57,"French,Street Food",Hal 3Rd Stage
8272,Alwarpet,Chennai,Ashvita Bistro,500,4.1,20,69,"Continental,Asian",Alwarpet
8275,Alwarpet,Chennai,Gogo Momo,350,4.2,50,65,Chinese,Bava Road
8323,Punjabi Bagh,Delhi,Blue Water Grille,600,3.9,100,68,"North Indian,Chinese,Continental,Fast Food",Punjabi Bagh
8469,Kasba,Kolkata,Sheerazi,350,4.3,50,68,"North Indian,Chinese",Kasba
8501,Alwarpet,Chennai,Dhabba Express,500,4,100,62,"Punjabi,North Indian,Chinese",Cenotaph Road
8587,Barabazar Market,Kolkata,Royal Indian Hotel,450,4.3,1000,36,"North Indian,Biryani,Mughlai",Rabindra Sarani
8687,Manicktala,Kolkata,Urbans Cafe,350,4.2,20,46,"Chinese,Mexican,Continental",Near Balika Shiksha Sadan
8688,Punjagutta,Hyderabad,Friends Shawarma,200,4.3,100,61,Lebanese,Road No 3
8698,Maniktala,Kolkata,New Paul Dhaba,400,3.9,1000,42,"North Indian,Chinese",Maniktala
8708,Esplanade,Kolkata,Lazzat,300,4.1,100,50,Chinese,Pearl Road Lower Range Beck Bagan
8751,Kankurgachi,Kolkata,Caafe 360 Degree- Kakurgachi,500,3.9,100,59,"Italian,Chinese",C.I.T. Road
8766,Ashok Nagar,Bangalore,Beijing Bites,450,4.2,500,33,Chinese,Richmond Road
8856,Thousand Lights,Chennai,Ox & Tomato,500,4.4,50,55,"Italian,Pizzas,Pastas,Desserts,Continental,Salads",Opp To Ather Bike Showroom
8894,Mylapore,Chennai,Fresh Baked Goodness,250,4.7,500,63,Bakery,Mylapore
8912,Taltala,Kolkata,Subway,350,4.3,500,49,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages,Park Street
8952,Alwarpet,Chennai,Absolute Thai,1400,4.4,100,71,"Thai,Pan-Asian",Teynampet
9014,West Marredpally,Hyderabad,Triple A Bakery,100,3.9,100,70,Italian  Bakery,West Marredpally Road
9035,Powaiandheri East,Mumbai,Forks And Spoons (Gourmet Chinese & Thai),200,4.1,100,48,"Chinese,Thai,Pan-Asian,Oriental,Beverages,Snacks,Seafood,Mughlai,Tibetan,Combo,European,Turkish,Asian,British,Salads,German",Andheri East
9052,Santacruz East,Mumbai,Subway,350,4.4,500,29,"Fast Food,Salads,Snacks,Desserts,Beverages",Central Plaza Kalina
9058,Thousand Lights,Chennai,Sandy'S,700,4.3,500,54,"Desserts,Continental",Wallace Garden
9098,Nungambakkam,Chennai,Mexicano Griller,800,3.9,20,64,"Mexican,Continental",Nungambakkam
9104,Vasanth Nagar,Bangalore,Rolls On Wheels,300,4.3,100,38,Fast Food,Cunnigham Road
9113,Thousand Lights,Chennai,Tuscana Pizzeria,1200,4.1,50,60,Italian,Nugambakkam
